cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.3333333333333333;0.5531914893617021;0.6571428571428571;0.45;0.5;0.5;0.4222222222222222;0.5833333333333334;0.5454545454545454;0.6829268292682927
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6216216216216216;0.5384615384615384;0.4838709677419355;0.5106382978723404;0.5652173913043478;0.6078431372549019;0.48148148148148145;0.4716981132075472;0.4909090909090909;0.4222222222222222
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5490196078431373;0.5522388059701493;0.4603174603174603;0.5348837209302325;0.5348837209302325;0.576271186440678;0.5263157894736842;0.5;0.46;0.3877551020408163
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.42424242424242425;0.4777777777777778;0.3944954128440367;0.39622641509433965;0.47706422018348627;0.4336283185840708;0.5643564356435643;0.46464646464646464;0.45918367346938777;0.40625
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.550561797752809;0.40816326530612246;0.4824561403508772;0.4392523364485981;0.5;0.49473684210526314;0.49557522123893805;0.4642857142857143;0.46788990825688076;0.44144144144144143
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.5454545454545454;0.4857142857142857;0.6197183098591549;0.5454545454545454;0.5614035087719298;0.5217391304347826;0.5783132530120482;0.5581395348837209;0.6212121212121212;0.5774647887323944
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5303030303030303;0.53125;0.5365853658536586;0.5694444444444444;0.5753424657534246;0.527027027027027;0.5142857142857142;0.5373134328358209;0.5694444444444444;0.4473684210526316
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.515625;0.5272727272727272;0.5797101449275363;0.5;0.5076923076923077;0.5344827586206896;0.547945205479452;0.5416666666666666;0.4807692307692308;0.6567164179104478
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.4897959183673469;0.47761194029850745;0.5161290322580645;0.48717948717948717;0.46774193548387094;0.5416666666666666;0.49056603773584906;0.4722222222222222;0.6222222222222222;0.43859649122807015
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5;0.49206349206349204;0.5094339622641509;0.5178571428571429;0.5614035087719298;0.4807692307692308;0.576271186440678;0.5094339622641509;0.5172413793103449;0.4444444444444444
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0;0.5;0.25;0.0;0.0;1.0;0;0.0;1.0;0.25
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.0;0;0.0;0.0;1.0;0;0;0.25;0;0
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5;0.3333333333333333;0.6666666666666666;0.4;1.0;0.5;1.0;0;1.0;0.0
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.16666666666666666;0.10526315789473684;0.0967741935483871;0.125;0.10810810810810811;0.13953488372093023;0.075;0.08333333333333333;0.07407407407407407;0.0975609756097561
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.23076923076923078;0.23076923076923078;0.4;0.0;0.375;0.09090909090909091;0.4444444444444444;0.0;0.6;0.4
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6666666666666666;0.3333333333333333;0.5;0.4;1.0;0.125;0.0;1.0;0.375;0.0
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.25;0.2857142857142857;0.75;1.0;0.16666666666666666;0.4;0.75;0.6666666666666666;0.5;0.4
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.0;0.0;0;0.3333333333333333;0.25;0.0;0.0;1.0;0;0.0
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.2;0.5;0.6666666666666666;0.6666666666666666;0;1.0;0.2;0.0;0.5;1.0
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.0;0.5;0.0;1.0;0;0.3333333333333333;1.0;0.3333333333333333;0;0.5
