cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.43370990165539186;0.7945911384658582;0.5596635248150335;9.346402788162232
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.42595884984889504;0.779554919471026;0.5502299789288718;12.984011459350587
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.4299545973937655;0.7965206670077827;0.5579529173283456;13.599649930000306
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7363730697842905;0.28774340061598735;0.41090300335741947;1.431870126724243
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7066925351436351;0.40176171628179647;0.5115993870981685;1.2043373107910156
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.5856782465263364;0.6089264675181938;0.5968087782380957;14.662884402275086
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5772833418809514;0.6111442795593176;0.5932442470395591;11.2028799533844
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5509392897300843;0.6810421271503182;0.6067808492932295;11.781310749053954
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.43732917040474745;0.7873320294420783;0.5613033430313978;8.568916916847229
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.4635831695903766;0.7708846999407639;0.5781354277020785;8.601095294952392
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6826279123811511;0.9738262630584791;0.8024189546845102;0.4696441650390625
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7074418242365678;0.9618222556264797;0.814773063960517;0.5323651790618896
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.716124129708351;0.9678736794820745;0.8210844762407594;0.5186294794082642
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7998359105323709;0.44048513182604127;0.5649020680441217;0.1619481086730957
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7394925756545265;0.8331217961280665;0.7822736270753368;0.109822678565979
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7477798434760383;0.9286424539512774;0.8282078186919322;0.6757558822631836
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7362258672392257;0.9197483778170701;0.817174748359619;0.6201239347457885
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6600296175692941;0.9824731777720908;0.787941301591467;0.4646775484085083
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6638905474383984;0.9892516375157836;0.7941371156503017;0.3668079853057861
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6829225784719801;0.9884169521885685;0.8075413346351115;0.38132638931274415
