cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5616597625410159;0.38043293762486396;0.4520827557462326;9.346402788162232
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5886003171226583;0.4138503599357584;0.4847382965198566;12.984011459350587
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6330176637604048;0.4107714377648911;0.49744069523938467;13.599649930000306
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5937598007310974;0.7210648372860269;0.650782806413773;1.431870126724243
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5888328866469793;0.7298094253423041;0.6509182585233395;1.2043373107910156
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6111646523451987;0.6527227380624442;0.6297644743870942;14.662884402275086
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.615352058893495;0.6372930292564254;0.6257249286790474;11.2028799533844
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6230772406921931;0.6027807204026555;0.6111948077618267;11.781310749053954
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5690209743889081;0.372644970708382;0.44925261100290503;8.568916916847229
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5566533958143727;0.46687078585095143;0.5060632445553681;8.601095294952392
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5084924879042526;0.2506142543701412;0.3269647785107687;0.4696441650390625
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.44540207986028424;0.25745083187660883;0.3221905916831047;0.5323651790618896
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5490950226244344;0.34004422391978617;0.4128816960099771;0.5186294794082642
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.2325062123604996;0.17278246753246754;0.19520714430370362;0.1619481086730957
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5135475635475635;0.23039699396333582;0.3161961541422665;0.109822678565979
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.44212097843676784;0.30016783216783216;0.3537830554602418;0.6757558822631836
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5343381962035213;0.33992553997726416;0.41296699273560417;0.6201239347457885
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5017376775271513;0.15543540604384523;0.21972936041028618;0.4646775484085083
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.46342712842712847;0.1501706485986405;0.22141380666380667;0.3668079853057861
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.4085822510822511;0.12829362125464075;0.19345644622867852;0.38132638931274415
