,appTitle,userName,date,score,Category,date_ex,processed_text,wordcount,stopword,lemmatizer,stemmer,bigrams,bow,tag,future,present_simple,present_con,past
0,Helix Jump,wan husna,"April 14, 2019",5,GAME_ACTION,2019-04-14,A great game to be during times  Nice,8.0,"['great', 'game', 'times', 'nice']","['a', 'great', 'game', 'to', 'be', 'during', 'time', 'nice']",a great game to be dure time nice,"[('a', 'great'), ('great', 'game'), ('game', 'to'), ('to', 'be'), ('be', 'during'), ('during', 'times'), ('times', 'nice')]",A great game to be during times  Nice,"['DT', 'JJ', 'NN', 'TO', 'VB', 'IN', 'NNS', 'NNP']",0,0,0,0
1,Pandora Music,taja sims,"March 13, 2019",5,MUSIC_AND_AUDIO,2019-04-01,I truly love pandora,4.0,"['truly', 'love', 'pandora']","['i', 'truly', 'love', 'pandora']",i truli love pandora,"[('i', 'truly'), ('truly', 'love'), ('love', 'pandora')]",I truly love pandora,"['PRP', 'RB', 'VBP', 'NNS']",0,1,0,0
2,Lose Belly Fat in 30 Days - Flat Stomach,,"December 15, 2018",5,HEALTH_AND_FITNESS,2019-03-24,I need all the help I need 5ft and I need to lose my stomach for my hip I need a new one so the weight to Goff,28.0,"['need', 'help', 'need', '5ft', 'need', 'lose', 'stomach', 'hip', 'need', 'new', 'one', 'weight', 'goff']","['i', 'need', 'all', 'the', 'help', 'i', 'need', '5ft', 'and', 'i', 'need', 'to', 'lose', 'my', 'stomach', 'for', 'my', 'hip', 'i', 'need', 'a', 'new', 'one', 'so', 'the', 'weight', 'to', 'goff']",i need all the help i need 5ft and i need to lose my stomach for my hip i need a new one so the weight to goff,"[('i', 'need'), ('need', 'all'), ('all', 'the'), ('the', 'help'), ('help', 'i'), ('i', 'need'), ('need', '5ft'), ('5ft', 'and'), ('and', 'i'), ('i', 'need'), ('need', 'to'), ('to', 'lose'), ('lose', 'my'), ('my', 'stomach'), ('stomach', 'for'), ('for', 'my'), ('my', 'hip'), ('hip', 'i'), ('i', 'need'), ('need', 'a'), ('a', 'new'), ('new', 'one'), ('one', 'so'), ('so', 'the'), ('the', 'weight'), ('weight', 'to'), ('to', 'goff')]",I need all the help I need 5ft and I need to lose my stomach for my hip I need a new one so the weight to Goff,"['PRP', 'VBP', 'PDT', 'DT', 'NN', 'PRP', 'VBP', 'CD', 'CC', 'PRP', 'VBP', 'TO', 'VB', 'PRP$', 'NN', 'IN', 'PRP$', 'NN', 'PRP', 'VBP', 'DT', 'JJ', 'CD', 'IN', 'DT', 'NN', 'TO', 'VB']",0,4,0,0
3,Roblox,Reece McBratney,"March 24, 2019",3,FAMILY,2019-03-24,it  s not great but it  s good,8.0,"['great', 'good']","['it', 's', 'not', 'great', 'but', 'it', 's', 'good']",it s not great but it s good,"[('it', 's'), ('s', 'not'), ('not', 'great'), ('great', 'but'), ('but', 'it'), ('it', 's'), ('s', 'good')]",it  s not great but it  s good,"['PRP', 'VBZ', 'RB', 'JJ', 'CC', 'PRP', 'VBD', 'JJ']",0,1,0,1
4,ABCmouse.com,A Google User,"February 22, 2018",5,EDUCATION,2019-04-07,I think this is cool this is learning and and I love this ,13.0,"['think', 'cool', 'learning', 'love']","['i', 'think', 'this', 'is', 'cool', 'this', 'is', 'learning', 'and', 'and', 'i', 'love', 'this']",i think thi is cool thi is learn and and i love thi,"[('i', 'think'), ('think', 'this'), ('this', 'is'), ('is', 'cool'), ('cool', 'this'), ('this', 'is'), ('is', 'learning'), ('learning', 'and'), ('and', 'and'), ('and', 'i'), ('i', 'love'), ('love', 'this')]",I think this is cool this is learning and and I love this ,"['PRP', 'VBP', 'DT', 'VBZ', 'JJ', 'DT', 'VBZ', 'VBG', 'CC', 'CC', 'PRP', 'VBP', 'DT']",0,5,0,0
5,Bowmasters,manishatse douce,"April 11, 2019",5,GAME_ACTION,2019-04-14,that game was awesome,4.0,"['game', 'awesome']","['that', 'game', 'wa', 'awesome']",that game wa awesom,"[('that', 'game'), ('game', 'was'), ('was', 'awesome')]",that game was awesome,"['DT', 'NN', 'VBD', 'JJ']",0,0,0,1
6,Drink Water Reminder: Water Tracker & Alarm,Gloria Gentle,"April 4, 2019",5,HEALTH_AND_FITNESS,2019-04-14,This is great  Sorry to say  I get so busy I need to drink water ,15.0,"['great', 'sorry', 'say', 'get', 'busy', 'need', 'drink', 'water']","['this', 'is', 'great', 'sorry', 'to', 'say', 'i', 'get', 'so', 'busy', 'i', 'need', 'to', 'drink', 'water']",thi is great sorri to say i get so busi i need to drink water,"[('this', 'is'), ('is', 'great'), ('great', 'sorry'), ('sorry', 'to'), ('to', 'say'), ('say', 'i'), ('i', 'get'), ('get', 'so'), ('so', 'busy'), ('busy', 'i'), ('i', 'need'), ('need', 'to'), ('to', 'drink'), ('drink', 'water')]",This is great  Sorry to say  I get so busy I need to drink water ,"['DT', 'VBZ', 'JJ', 'NNP', 'TO', 'VB', 'PRP', 'VBP', 'RB', 'JJ', 'PRP', 'VBP', 'TO', 'VB', 'NN']",0,3,0,0
7,Headspace: Meditation & Sleep,SHREENATH KAMBLE,"January 19, 2019",1,HEALTH_AND_FITNESS,2019-04-07,I don  t want to give even 1 star to this  It  s a fraud  My request to all Don  t use use this  Even after i it is showing  Subscribe to unlock  after Unsubscribing They  t though ,38.0,"['want', 'give', 'even', '1', 'star', 'fraud', 'request', 'use', 'use', 'even', 'showing', 'subscribe', 'unlock', 'unsubscribing', 'though']","['i', 'don', 't', 'want', 'to', 'give', 'even', '1', 'star', 'to', 'this', 'it', 's', 'a', 'fraud', 'my', 'request', 'to', 'all', 'don', 't', 'use', 'use', 'this', 'even', 'after', 'i', 'it', 'is', 'showing', 'subscribe', 'to', 'unlock', 'after', 'unsubscribing', 'they', 't', 'though']",i don t want to give even 1 star to thi it s a fraud my request to all don t use use thi even after i it is show subscrib to unlock after unsubscrib they t though,"[('i', 'don'), ('don', 't'), ('t', 'want'), ('want', 'to'), ('to', 'give'), ('give', 'even'), ('even', '1'), ('1', 'star'), ('star', 'to'), ('to', 'this'), ('this', 'it'), ('it', 's'), ('s', 'a'), ('a', 'fraud'), ('fraud', 'my'), ('my', 'request'), ('request', 'to'), ('to', 'all'), ('all', 'don'), ('don', 't'), ('t', 'use'), ('use', 'use'), ('use', 'this'), ('this', 'even'), ('even', 'after'), ('after', 'i'), ('i', 'it'), ('it', 'is'), ('is', 'showing'), ('showing', 'subscribe'), ('subscribe', 'to'), ('to', 'unlock'), ('unlock', 'after'), ('after', 'unsubscribing'), ('unsubscribing', 'they'), ('they', 't'), ('t', 'though')]",I don  t want to give even 1 star to this  It  s a fraud  My request to all Don  t use use this  Even after i it is showing  Subscribe to unlock  after Unsubscribing They  t though ,"['PRP', 'VBP', 'JJ', 'VBP', 'TO', 'VB', 'RB', 'CD', 'NN', 'TO', 'DT', 'PRP', 'VBZ', 'DT', 'NN', 'NNP', 'NN', 'TO', 'DT', 'NNP', 'NN', 'NN', 'NN', 'DT', 'RB', 'IN', 'NN', 'PRP', 'VBZ', 'VBG', 'NNP', 'TO', 'VB', 'IN', 'VBG', 'PRP', 'VBP', 'IN']",0,7,0,0
8,Venmo Mobile Wallet: Send & Receive Money,John Doe,"March 31, 2019",5,FINANCE,2019-04-07,superb all around ,3.0,"['superb', 'around']","['superb', 'all', 'around']",superb all around,"[('superb', 'all'), ('all', 'around')]",superb all around ,"['NN', 'DT', 'IN']",0,0,0,0
9,Lose It! - Calorie Counter,Ronald Beabout,"July 23, 2018",3,HEALTH_AND_FITNESS,2019-04-07,Your bar code feature  t work properly  It won  t even take me to where I can see the food in the view finder   Fix it ,26.0,"['bar', 'code', 'feature', 'work', 'properly', 'even', 'take', 'see', 'food', 'view', 'finder', 'fix']","['your', 'bar', 'code', 'feature', 't', 'work', 'properly', 'it', 'won', 't', 'even', 'take', 'me', 'to', 'where', 'i', 'can', 'see', 'the', 'food', 'in', 'the', 'view', 'finder', 'fix', 'it']",your bar code featur t work properli it won t even take me to where i can see the food in the view finder fix it,"[('your', 'bar'), ('bar', 'code'), ('code', 'feature'), ('feature', 't'), ('t', 'work'), ('work', 'properly'), ('properly', 'it'), ('it', 'won'), ('won', 't'), ('t', 'even'), ('even', 'take'), ('take', 'me'), ('me', 'to'), ('to', 'where'), ('where', 'i'), ('i', 'can'), ('can', 'see'), ('see', 'the'), ('the', 'food'), ('food', 'in'), ('in', 'the'), ('the', 'view'), ('view', 'finder'), ('finder', 'fix'), ('fix', 'it')]",Your bar code feature  t work properly  It won  t even take me to where I can see the food in the view finder   Fix it ,"['PRP$', 'NN', 'NN', 'NN', 'NN', 'NN', 'RB', 'PRP', 'VBD', 'RB', 'RB', 'VB', 'PRP', 'TO', 'WRB', 'PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', 'VBP', 'IN', 'PRP']",1,1,0,1
