cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7659574468085106;0.6635514018691588;0.6857142857142857;0.6888888888888889;0.6826923076923077;0.686046511627907;0.7;0.6442307692307693;0.7525773195876289;0.6699029126213593
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6055045871559633;0.7291666666666666;0.6764705882352942;0.7727272727272727;0.6666666666666666;0.7128712871287128;0.627906976744186;0.7111111111111111;0.7040816326530612;0.7
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7021276595744681;0.8414634146341463;0.8152173913043478;0.7156862745098039;0.6310679611650486;0.71;0.6222222222222222;0.6947368421052632;0.5333333333333333;0.7204301075268817
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6231884057971014;0.5664335664335665;0.5869565217391305;0.543046357615894;0.5227272727272727;0.688;0.6076923076923076;0.5897435897435898;0.6515151515151515;0.5857988165680473
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6060606060606061;0.6694915254237288;0.7033898305084746;0.688;0.6534653465346535;0.6746031746031746;0.75;0.6666666666666666;0.6727272727272727;0.5983606557377049
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7280701754385965;0.6440677966101694;0.6974789915966386;0.6415094339622641;0.6097560975609756;0.6964285714285714;0.6868686868686869;0.7295081967213115;0.6666666666666666;0.65
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7256637168141593;0.6585365853658537;0.7333333333333333;0.7105263157894737;0.7016129032258065;0.6475409836065574;0.6171875;0.6694214876033058;0.6285714285714286;0.6306306306306306
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6666666666666666;0.5950413223140496;0.7619047619047619;0.6936936936936937;0.6788990825688074;0.7321428571428571;0.7346938775510204;0.6972477064220184;0.6964285714285714;0.7592592592592593
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7238095238095238;0.7263157894736842;0.7058823529411765;0.74;0.7906976744186046;0.6565656565656566;0.7065217391304348;0.7586206896551724;0.7352941176470589;0.7045454545454546
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7608695652173914;0.7468354430379747;0.780952380952381;0.8173076923076923;0.776595744680851;0.7640449438202247;0.7640449438202247;0.8241758241758241;0.725;0.6868686868686869
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.45454545454545453;1.0;0.6666666666666666;0.3333333333333333;0.5;1.0;0.7;0.375;0.36363636363636365;0.6153846153846154
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8;0.5454545454545454;0.375;0.4444444444444444;0.6;0.75;0.3333333333333333;0.4444444444444444;0.5;0.6666666666666666
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7142857142857143;1.0;0.7;0.7142857142857143;0.5;0.4;0.4444444444444444;0.7272727272727273;0.5;0.5555555555555556
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.34782608695652173;0.3333333333333333;0.39285714285714285;0.36363636363636365;0.42857142857142855;0.37037037037037035;0.391304347826087;0.4;0.5;0.34782608695652173
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.26666666666666666;0.3888888888888889;0.4;0.47619047619047616;0.23529411764705882;0.38095238095238093;0.4444444444444444;0.23529411764705882;0.4444444444444444;0.3
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.5;0.36363636363636365;0.5333333333333333;0.42857142857142855;0.4;0.7777777777777778;1.0;0.6666666666666666;0.5384615384615384;0.5714285714285714
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5714285714285714;0.5;0.5555555555555556;0.4666666666666667;0.5384615384615384;0.6666666666666666;0.7;0.4444444444444444;0.4166666666666667;0.5
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5;0.5;0.6666666666666666;0.6666666666666666;0.5714285714285714;0.6666666666666666;0.6;0.4;0.6;1.0
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.625;0.5;0.8333333333333334;0.6666666666666666;0.8;1.0;0.2;0.7142857142857143;0.42857142857142855;0.7777777777777778
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.4444444444444444;0.0;0.6;0.75;0.8;0.5;0.5;0.4;0.8333333333333334;0.45454545454545453
