cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5227604610116287;0.24085932751583122;0.327733399583949;9.346402788162232
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5193963862077028;0.2930843059636855;0.37122160141640254;12.984011459350587
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.508168539394639;0.3055467541497109;0.37795713383032303;13.599649930000306
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.4497871142485552;0.5091505629334961;0.476448198273661;1.431870126724243
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.4744362667186645;0.546228710277319;0.5071187184941867;1.2043373107910156
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.5614614023529528;0.446690883108226;0.4957687743465131;14.662884402275086
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5338364346000196;0.4280348194633711;0.4744759537609583;11.2028799533844
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5391880459339058;0.40060017566904016;0.4585664767560715;11.781310749053954
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5003731953662307;0.3020847247685027;0.37225339405429586;8.568916916847229
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5108918309185565;0.303835092114112;0.3806313072628415;8.601095294952392
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.3;0.08194444444444443;0.12023310023310023;0.4696441650390625
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.125;0.018333333333333333;0.03068181818181818;0.5323651790618896
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.54;0.1238275613275613;0.18078865578865583;0.5186294794082642
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.10713153929559924;0.5555808080808081;0.17886512468349205;0.1619481086730957
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.27718919968919964;0.2835714285714286;0.2750929127631914;0.109822678565979
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.44000000000000006;0.18921106671106672;0.2195630710878389;0.6757558822631836
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.516904761904762;0.21246753246753242;0.29125568875568875;0.6201239347457885
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.15833333333333333;0.03447802197802198;0.05064935064935065;0.4646775484085083
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.47333333333333333;0.1276190476190476;0.18642282554047263;0.3668079853057861
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.36666666666666664;0.09170995670995671;0.13547619047619047;0.38132638931274415
